uid,ctf_params.akv,ctf_params.angast_deg,ctf_params.angast_rad,ctf_params.cs,ctf_params.detector_psize,ctf_params.df1,ctf_params.df2,ctf_params.mag,ctf_params.phase_shift,ctf_params.psize,ctf_params.wgh,data_input_relpath,data_input_idx,alignments.model-best.phiC
0,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,0,1.0
1,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,1,1.0
3,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,3,1.0
4,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,4,1.0
6,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,6,1.0
7,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,7,1.0
8,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,8,1.0
9,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,9,1.0
10,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,10,1.0
12,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,12,1.0
13,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,13,1.0
15,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,15,1.0
17,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,17,1.0
18,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,18,1.0
19,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,19,1.0
20,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,20,1.0
23,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,23,1.0
24,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,24,1.0
25,200.0,-20.974854,-0.366080262425,2.7,1.168,15874.303711,15476.084961,10000.0,0.0,1.168,0.07,20180525_sir3sir4ccdin_cistem_6xbin.mrcs,25,1.0
